127.0.0.1 - - [07/Dec/2022:22:11:32 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/Dec/2022:22:11:36 +0530] "GET /Test/index.jsp HTTP/1.1" 200 5441
0:0:0:0:0:0:0:1 - - [07/Dec/2022:22:11:36 +0530] "GET /Test/index.css HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [07/Dec/2022:22:11:36 +0530] "GET /Test/index.css HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [07/Dec/2022:22:11:41 +0530] "GET /Test/stuLogin.jsp HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [07/Dec/2022:22:11:49 +0530] "GET /Test/stuLogin.jsp HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [07/Dec/2022:22:12:52 +0530] "GET /Test/register.jsp HTTP/1.1" 200 3742
0:0:0:0:0:0:0:1 - - [07/Dec/2022:22:12:52 +0530] "GET /Test/index.css HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [07/Dec/2022:22:13:42 +0530] "GET /Test/login.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [07/Dec/2022:22:21:44 +0530] "GET /Test/stuLogin.jsp HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [07/Dec/2022:22:21:51 +0530] "GET /Test/login.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [07/Dec/2022:22:21:56 +0530] "GET /Test/register.jsp HTTP/1.1" 200 3742
0:0:0:0:0:0:0:1 - - [07/Dec/2022:22:21:56 +0530] "GET /Test/index.css HTTP/1.1" 404 770
