0:0:0:0:0:0:0:1 - - [24/Jan/2023:00:00:06 +0530] "POST /Project2/facultyReg HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [24/Jan/2023:00:06:11 +0530] "GET /Project2/ HTTP/1.1" 200 5829
0:0:0:0:0:0:0:1 - - [24/Jan/2023:00:06:11 +0530] "GET /Project2/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:00:06:11 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [24/Jan/2023:00:06:11 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [24/Jan/2023:00:06:12 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [24/Jan/2023:00:06:12 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [24/Jan/2023:00:06:18 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [24/Jan/2023:00:06:18 +0530] "GET /Project2/Bootstrap/js/bootstrap.bundle.js.map HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [24/Jan/2023:00:06:18 +0530] "GET /Project2/Bootstrap/js/bootstrap.bundle.js.map HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [24/Jan/2023:00:06:18 +0530] "GET /Project2/Bootstrap/js/bootstrap.bundle.js.map HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [24/Jan/2023:00:06:18 +0530] "GET /Project2/Bootstrap/js/popper.min.js.map HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [24/Jan/2023:00:06:18 +0530] "GET /Project2/Bootstrap/js/bootstrap.bundle.js.map HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [24/Jan/2023:00:06:18 +0530] "GET /Project2/Bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [24/Jan/2023:00:06:27 +0530] "GET /Project2/register.jsp HTTP/1.1" 200 6459
0:0:0:0:0:0:0:1 - - [24/Jan/2023:00:06:27 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [24/Jan/2023:00:06:27 +0530] "GET /Project2/Bootstrap/js/bootstrap.bundle.js.map HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [24/Jan/2023:00:06:27 +0530] "GET /Project2/Bootstrap/js/popper.min.js.map HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [24/Jan/2023:00:06:27 +0530] "GET /Project2/Bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [24/Jan/2023:00:06:27 +0530] "GET /Project2/Bootstrap/js/bootstrap.bundle.js.map HTTP/1.1" 404 813
