127.0.0.1 - - [27/Jan/2023:16:28:30 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:28:32 +0530] "GET /Project2/ HTTP/1.1" 200 5829
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:28:32 +0530] "GET /Project2/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:28:32 +0530] "GET /Project2/Bootstrap/js/bootstrap.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:28:32 +0530] "GET /Project2/Bootstrap/JQuery/jquery-3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:28:32 +0530] "GET /Project2/Bootstrap/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:28:32 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:28:32 +0530] "GET /Project2/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:28:32 +0530] "GET /Project2/img/logo.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:28:32 +0530] "GET /Project2/img/section-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:28:32 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:28:33 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:28:34 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:28:34 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:28:53 +0530] "GET /Project2/register.jsp HTTP/1.1" 200 6459
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:28:53 +0530] "GET /Project2/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:28:53 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:28:53 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:28:53 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:29:28 +0530] "POST /Project2/facultyReg HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:30:30 +0530] "POST /Project2/facultyReg HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:30:35 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 5829
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:30:35 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:30:35 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:30:35 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:30:36 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:32:34 +0530] "GET /Project2/register.jsp HTTP/1.1" 200 6459
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:32:34 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:32:35 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:32:35 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:33:01 +0530] "POST /Project2/facultyReg HTTP/1.1" 200 1486
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:33:01 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:49:37 +0530] "POST /Project2/facultyReg HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:49:51 +0530] "GET /Project2/login.jsp HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:49:51 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:52:10 +0530] "GET /Project2/login.jsp HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:52:10 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:52:12 +0530] "POST /Project2/login HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:52:12 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:52:12 +0530] "GET /Project2/img/404.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:53:07 +0530] "POST /Project2/login HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:53:07 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:53:11 +0530] "POST /Project2/login HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:53:11 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:53:15 +0530] "GET /Project2/login.jsp HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:53:15 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:53:24 +0530] "POST /Project2/login HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:53:24 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:54:11 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 5916
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:54:11 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:54:11 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:54:11 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:16:54:12 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:22:06 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:22:06 +0530] "GET /Project2/css/admin.css HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:27:54 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 2836
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:27:54 +0530] "GET /Project2/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:27:55 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:40:50 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:40:50 +0530] "GET /Project2/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:40:51 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:41:40 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:41:40 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:41:42 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:41:42 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:41:42 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:41:42 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:41:43 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:41:43 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:41:43 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:41:43 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:41:43 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:41:43 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:41:43 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:41:43 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [27/Jan/2023:17:41:43 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 2961
