127.0.0.1 - - [03/Feb/2023:14:17:54 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:18:04 +0530] "GET /Project2/ HTTP/1.1" 200 5963
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:18:04 +0530] "GET /Project2/Bootstrap/JQuery/jquery-3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:18:04 +0530] "GET /Project2/Bootstrap/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:18:04 +0530] "GET /Project2/Bootstrap/js/bootstrap.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:18:04 +0530] "GET /Project2/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:18:04 +0530] "GET /Project2/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:18:04 +0530] "GET /Project2/img/logo.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:18:04 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:18:04 +0530] "GET /Project2/img/section-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:18:04 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:18:06 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:18:06 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:18:07 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:18:31 +0530] "POST /Project2/stuDashboard.jsp HTTP/1.1" 200 5620
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:18:31 +0530] "POST /Project2/stuDashboard.jsp HTTP/1.1" 200 5620
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:18:31 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:18:31 +0530] "GET /Project2/js/stuDashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:18:31 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:18:31 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:18:31 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:19:16 +0530] "POST /Project2/stuDashboard.jsp HTTP/1.1" 200 6071
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:19:16 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:19:16 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:19:17 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:19:30 +0530] "POST /Project2/getFiles.jsp HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:19:30 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:19:30 +0530] "GET /Project2/img/404.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:19:43 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 4872
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:19:43 +0530] "GET /Project2/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:19:44 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:19:44 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:19:56 +0530] "POST /Project2/adminDashboard.jsp HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:19:56 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:19:57 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:20:04 +0530] "POST /Project2/adminDashboard.jsp HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:20:04 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:20:04 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:20:10 +0530] "POST /Project2/adminDashboard.jsp HTTP/1.1" 200 3902
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:20:10 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:20:10 +0530] "GET /Project2/js/adminDashboard.js HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:22:57 +0530] "POST /Project2/adminDashboard.jsp HTTP/1.1" 200 3954
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:22:57 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:22:59 +0530] "POST /Project2/adminDashboard.jsp HTTP/1.1" 200 3954
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:22:59 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:24:19 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 5963
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:24:19 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
