127.0.0.1 - - [13/Mar/2023:13:19:21 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:19:26 +0530] "GET /Project2/ HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:19:26 +0530] "GET /Project2/Bootstrap/fontawesome/f-icons.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:19:28 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:22:24 +0530] "GET /Project2/register.jsp HTTP/1.1" 200 6662
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:22:24 +0530] "GET /Project2/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:23:11 +0530] "POST /Project2/stuDashboard.jsp HTTP/1.1" 200 18855
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:23:11 +0530] "GET /Project2/stuDashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:23:46 +0530] "POST /Project2/stuDashboard.jsp HTTP/1.1" 200 18855
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:23:57 +0530] "POST /Project2/FileReadPdf HTTP/1.1" 200 197649
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:24:04 +0530] "POST /Project2/downloadFiles HTTP/1.1" 200 197445
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:24:23 +0530] "POST /Project2/Msg.jsp HTTP/1.1" 200 5000
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:24:35 +0530] "POST /Project2/Msg.jsp HTTP/1.1" 200 7782
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:24:53 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:24:59 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 4976
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:25:13 +0530] "POST /Project2/adminDashboard.jsp HTTP/1.1" 200 16970
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:25:51 +0530] "POST /Project2/uploadServlet HTTP/1.1" 200 10804
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:26:02 +0530] "POST /Project2/FileReadPdf HTTP/1.1" 200 92009
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:26:23 +0530] "GET /Project2/logout HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:26:23 +0530] "GET /Project2/img/404.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:26:34 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:26:58 +0530] "GET /Project2/register.jsp HTTP/1.1" 200 6662
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:27:18 +0530] "POST /Project2/Register HTTP/1.1" 200 1706
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:27:31 +0530] "POST /Project2/stuDashboard.jsp HTTP/1.1" 200 19619
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:27:55 +0530] "POST /Project2/Msg.jsp HTTP/1.1" 200 6413
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:28:06 +0530] "POST /Project2/FileReadPdf HTTP/1.1" 200 8414487
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:28:42 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:28:46 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 4976
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:28:49 +0530] "GET /Project2/register.jsp HTTP/1.1" 200 6662
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:29:14 +0530] "POST /Project2/Register HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:30:03 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:30:21 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 4976
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:31:10 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:34 +0530] "GET /Project2/Bootstrap/js/bootstrap.bundle.js.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:34 +0530] "GET /Project2/Bootstrap/js/popper.min.js.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:34 +0530] "GET /Project2/Bootstrap/js/bootstrap.bundle.js.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:34 +0530] "GET /Project2/Bootstrap/js/popper.min.js.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:34 +0530] "GET /Project2/Bootstrap/js/bootstrap.bundle.js.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:34 +0530] "GET /Project2/Bootstrap/js/popper.min.js.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:34 +0530] "GET /Project2/Bootstrap/js/bootstrap.bundle.js.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:34 +0530] "GET /Project2/Bootstrap/js/popper.min.js.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:34 +0530] "GET /Project2/Bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:34 +0530] "GET /Project2/Bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:34 +0530] "GET /Project2/Bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:34 +0530] "GET /Project2/Bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:46 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:46 +0530] "GET /Project2/Bootstrap/js/bootstrap.bundle.js.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:46 +0530] "GET /Project2/Bootstrap/js/popper.min.js.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:46 +0530] "GET /Project2/Bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:47 +0530] "GET /Project2/Bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:47 +0530] "GET /Project2/Bootstrap/js/bootstrap.bundle.js.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:47 +0530] "GET /Project2/Bootstrap/js/popper.min.js.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:47 +0530] "GET /Project2/Bootstrap/js/bootstrap.bundle.js.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:48 +0530] "GET /Project2/Bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:48 +0530] "GET /Project2/Bootstrap/js/popper.min.js.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:48 +0530] "GET /Project2/Bootstrap/js/bootstrap.bundle.js.map HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [13/Mar/2023:13:33:48 +0530] "GET /Project2/Bootstrap/js/popper.min.js.map HTTP/1.1" 404 906
